firstVideo,secondVideo,congruent,corrAns
TomVideos/HideAndSeekNoChange.mp4,TomVideos/HideAndSeekEndMentaD.mp4,0,incorrect
TomVideos/HideAndSeekNoChange.mp4,TomVideos/HideAndSeekEndMecaD.mp4,0,incorrect
TomVideos/HideAndSeekNoChange.mp4,TomVideos/HideAndSeekEndMentaG.mp4,1,correct
TomVideos/HideAndSeekNoChange.mp4,TomVideos/HideAndSeekEndMecaG.mp4,1,correct
TomVideos/PaintChangeSeen.mp4,TomVideos/PaintEndMentaD.mp4,1,correct
TomVideos/PaintChangeSeen.mp4,TomVideos/PaintEndMentaG.mp4,0,incorrect
TomVideos/PaintChangeUnseen.mp4,TomVideos/PaintEndMentaD.mp4,0,incorrect
TomVideos/PaintChangeUnseen.mp4,TomVideos/PaintEndMentaG.mp4,1,correct
TomVideos/PaintChangeSeen.mp4,TomVideos/PaintEndMecaD.mp4,1,correct
TomVideos/PaintChangeSeen.mp4,TomVideos/PaintEndMecaG.mp4,0,incorrect
TomVideos/PaintChangeUnseen.mp4,TomVideos/PaintEndMecaD.mp4,1,correct
TomVideos/PaintChangeUnseen.mp4,TomVideos/PaintEndMecaG.mp4,0,incorrect
TomVideos/PaintNoChange.mp4,TomVideos/PaintEndMentaD.mp4,0,incorrect
TomVideos/PaintNoChange.mp4,TomVideos/PaintEndMecaD.mp4,0,incorrect
TomVideos/PaintNoChange.mp4,TomVideos/PaintEndMentaG.mp4,1,correct
TomVideos/PaintNoChange.mp4,TomVideos/PaintEndMecaG.mp4,1,correct
TomVideos/ThiefChangeSeen.mp4,TomVideos/ThiefEndMentaD.mp4,1,correct
TomVideos/ThiefChangeSeen.mp4,TomVideos/ThiefEndMentaG.mp4,0,incorrect
TomVideos/ThiefChangeUnseen.mp4,TomVideos/ThiefEndMentaD.mp4,0,incorrect
TomVideos/ThiefChangeUnseen.mp4,TomVideos/ThiefEndMentaG.mp4,1,correct
TomVideos/ThiefChangeSeen.mp4,TomVideos/ThiefEndMecaD.mp4,1,correct
TomVideos/ThiefChangeSeen.mp4,TomVideos/ThiefEndMecaG.mp4,0,incorrect
TomVideos/ThiefChangeUnseen.mp4,TomVideos/ThiefEndMecaD.mp4,1,correct
TomVideos/ThiefChangeUnseen.mp4,TomVideos/ThiefEndMecaG.mp4,0,incorrect
TomVideos/ThiefNoChange.mp4,TomVideos/ThiefEndMentaD.mp4,0,incorrect
TomVideos/ThiefNoChange.mp4,TomVideos/ThiefEndMecaD.mp4,0,incorrect
TomVideos/ThiefNoChange.mp4,TomVideos/ThiefEndMentaG.mp4,1,correct
TomVideos/ThiefNoChange.mp4,TomVideos/ThiefEndMecaG.mp4,1,correct
